example_id,source_id,source_role,condition,split,profile_index,technical_label,logp_A,logp_B,technical_margin
resnet:relevant_researcher:train:0:A,resnet,cv,relevant_researcher,train,0,A,-0.06298067420721054,-2.8129806518554688,2.749999977648258
resnet:relevant_researcher:train:0:B,resnet,cv,relevant_researcher,train,0,B,-1.7049087285995483,-0.20490874350070953,1.4999999850988388
resnet:relevant_researcher:train:1:A,resnet,cv,relevant_researcher,train,1,A,-0.010093952529132366,-4.635094165802002,4.62500021327287
resnet:relevant_researcher:train:1:B,resnet,cv,relevant_researcher,train,1,B,-2.931572675704956,-0.05657273158431053,2.8749999441206455
resnet:relevant_researcher:train:2:A,resnet,cv,relevant_researcher,train,2,A,-0.027197612449526787,-3.6521975994110107,3.624999986961484
resnet:relevant_researcher:train:2:B,resnet,cv,relevant_researcher,train,2,B,-1.5050305128097534,-0.2550305128097534,1.25
resnet:relevant_researcher:train:3:A,resnet,cv,relevant_researcher,train,3,A,-0.06265097856521606,-2.8126509189605713,2.7499999403953552
resnet:relevant_researcher:train:3:B,resnet,cv,relevant_researcher,train,3,B,-1.8075114488601685,-0.18251141905784607,1.6250000298023224
resnet:relevant_researcher:validation:4:A,resnet,cv,relevant_researcher,validation,4,A,-0.049275126308202744,-3.0492751598358154,3.0000000335276127
resnet:relevant_researcher:validation:4:B,resnet,cv,relevant_researcher,validation,4,B,-2.0206425189971924,-0.1456424444913864,1.875000074505806
resnet:relevant_researcher:validation:5:A,resnet,cv,relevant_researcher,validation,5,A,-0.01669788546860218,-4.141697883605957,4.124999998137355
resnet:relevant_researcher:validation:5:B,resnet,cv,relevant_researcher,validation,5,B,-2.3531596660614014,-0.10315969586372375,2.2499999701976776
resnet:relevant_researcher:test:6:A,resnet,cv,relevant_researcher,test,6,A,-0.1277090460062027,-2.127709150314331,2.0000001043081284
resnet:relevant_researcher:test:6:B,resnet,cv,relevant_researcher,test,6,B,-1.703870177268982,-0.20387016236782074,1.5000000149011612
resnet:relevant_researcher:test:7:A,resnet,cv,relevant_researcher,test,7,A,-0.030426079407334328,-3.530426025390625,3.4999999459832907
resnet:relevant_researcher:test:7:B,resnet,cv,relevant_researcher,test,7,B,-1.1396043300628662,-0.3896043598651886,0.7499999701976776
resnet:relevant_researcher:test:8:A,resnet,cv,relevant_researcher,test,8,A,-0.07949140667915344,-2.579491376876831,2.4999999701976776
resnet:relevant_researcher:test:8:B,resnet,cv,relevant_researcher,test,8,B,-1.6029011011123657,-0.22790107131004333,1.3750000298023224
resnet:irrelevant_researcher:train:0:A,resnet,cv,irrelevant_researcher,train,0,A,-0.07989539206027985,-2.579895496368408,2.5000001043081284
resnet:irrelevant_researcher:train:0:B,resnet,cv,irrelevant_researcher,train,0,B,-1.705178141593933,-0.2051781266927719,1.5000000149011612
resnet:irrelevant_researcher:train:1:A,resnet,cv,irrelevant_researcher,train,1,A,-0.010041671805083752,-4.6350417137146,4.625000041909516
resnet:irrelevant_researcher:train:1:B,resnet,cv,irrelevant_researcher,train,1,B,-2.8136866092681885,-0.06368649750947952,2.750000111758709
resnet:irrelevant_researcher:train:2:A,resnet,cv,irrelevant_researcher,train,2,A,-0.04956774041056633,-3.049567699432373,2.9999999590218067
resnet:irrelevant_researcher:train:2:B,resnet,cv,irrelevant_researcher,train,2,B,-1.4103310108184814,-0.28533098101615906,1.1250000298023224
resnet:irrelevant_researcher:train:3:A,resnet,cv,irrelevant_researcher,train,3,A,-0.25306811928749084,-1.5030680894851685,1.2499999701976776
resnet:irrelevant_researcher:train:3:B,resnet,cv,irrelevant_researcher,train,3,B,-1.5050708055496216,-0.2550707757472992,1.2500000298023224
resnet:irrelevant_researcher:validation:4:A,resnet,cv,irrelevant_researcher,validation,4,A,-0.5249096751213074,-0.8999096751213074,0.375
resnet:irrelevant_researcher:validation:4:B,resnet,cv,irrelevant_researcher,validation,4,B,-0.6958501935005188,-0.6958501935005188,0.0
resnet:irrelevant_researcher:validation:5:A,resnet,cv,irrelevant_researcher,validation,5,A,-0.16128788888454437,-1.9112879037857056,1.7500000149011612
resnet:irrelevant_researcher:validation:5:B,resnet,cv,irrelevant_researcher,validation,5,B,-1.9127485752105713,-0.1627485603094101,1.7500000149011612
resnet:irrelevant_researcher:test:6:A,resnet,cv,irrelevant_researcher,test,6,A,-0.3884193003177643,-1.138419270515442,0.7499999701976776
resnet:irrelevant_researcher:test:6:B,resnet,cv,irrelevant_researcher,test,6,B,-0.9778899550437927,-0.4778899550437927,0.5
resnet:irrelevant_researcher:test:7:A,resnet,cv,irrelevant_researcher,test,7,A,-0.47534966468811035,-0.9753496646881104,0.5
resnet:irrelevant_researcher:test:7:B,resnet,cv,irrelevant_researcher,test,7,B,-0.7595404982566833,-0.6345404982566833,0.125
resnet:irrelevant_researcher:test:8:A,resnet,cv,irrelevant_researcher,test,8,A,-0.35008883476257324,-1.2250888347625732,0.875
