direction,selected_layer,example_id,source_id,condition,technical_label,alpha,logp_A,logp_B,technical_margin
ml_expert_minus_novice,26,resnet:expert:test:6:A,resnet,expert,A,-2,-1.9102240800857544,-0.1602240949869156,-1.7499999850988388
ml_expert_minus_novice,26,resnet:expert:test:6:A,resnet,expert,A,-1,-0.0015023384476080537,-6.501502513885498,6.50000017543789
ml_expert_minus_novice,26,resnet:expert:test:6:A,resnet,expert,A,0,-2.753696753643453e-05,-10.500027656555176,10.50000011958764
ml_expert_minus_novice,26,resnet:expert:test:6:A,resnet,expert,A,1,-1.0132738680113107e-05,-11.50001049041748,11.5000003576788
ml_expert_minus_novice,26,resnet:expert:test:6:A,resnet,expert,A,2,-7.867782187531702e-06,-11.750007629394531,11.749999761612344
ml_expert_minus_novice,26,resnet:expert:test:6:B,resnet,expert,B,-2,-0.3132617473602295,-1.3132617473602295,-1.0
ml_expert_minus_novice,26,resnet:expert:test:6:B,resnet,expert,B,-1,-0.10020658373832703,-2.3502066135406494,-2.2500000298023224
ml_expert_minus_novice,26,resnet:expert:test:6:B,resnet,expert,B,0,-0.3132617473602295,-1.3132617473602295,-1.0
ml_expert_minus_novice,26,resnet:expert:test:6:B,resnet,expert,B,1,-2.1269280910491943,-0.12692804634571075,2.0000000447034836
ml_expert_minus_novice,26,resnet:expert:test:6:B,resnet,expert,B,2,-5.006715297698975,-0.006715348921716213,4.999999948777258
ml_expert_minus_novice,26,resnet:expert:test:7:A,resnet,expert,A,-2,-10.250035285949707,-3.540453326422721e-05,-10.249999881416443
ml_expert_minus_novice,26,resnet:expert:test:7:A,resnet,expert,A,-1,-4.0181498527526855,-0.018149960786104202,-3.9999998919665813
ml_expert_minus_novice,26,resnet:expert:test:7:A,resnet,expert,A,0,-0.01416344940662384,-4.264163494110107,4.250000044703484
ml_expert_minus_novice,26,resnet:expert:test:7:A,resnet,expert,A,1,-9.60780744208023e-05,-9.250096321105957,9.250000243031536
ml_expert_minus_novice,26,resnet:expert:test:7:A,resnet,expert,A,2,-3.540453326422721e-05,-10.250035285949707,10.249999881416443
ml_expert_minus_novice,26,resnet:expert:test:7:B,resnet,expert,B,-2,-0.011047743260860443,-4.511047840118408,-4.500000096857548
ml_expert_minus_novice,26,resnet:expert:test:7:B,resnet,expert,B,-1,-0.0004306104383431375,-7.750430583953857,-7.749999973515514
ml_expert_minus_novice,26,resnet:expert:test:7:B,resnet,expert,B,0,-3.540453326422721e-05,-10.250035285949707,-10.249999881416443
ml_expert_minus_novice,26,resnet:expert:test:7:B,resnet,expert,B,1,-1.2993727978027891e-05,-11.25001335144043,-11.250000357712452
ml_expert_minus_novice,26,resnet:expert:test:7:B,resnet,expert,B,2,-2.1457441107486375e-05,-10.750020980834961,-10.749999523393853
ml_expert_minus_novice,26,resnet:novice:test:6:A,resnet,novice,A,-2,-12.75000286102295,-2.861018856492592e-06,-12.750000000004093
ml_expert_minus_novice,26,resnet:novice:test:6:A,resnet,novice,A,-1,-10.000045776367188,-4.541770613286644e-05,-10.000000358661055
ml_expert_minus_novice,26,resnet:novice:test:6:A,resnet,novice,A,0,-5.006715297698975,-0.006715348921716213,-4.999999948777258
ml_expert_minus_novice,26,resnet:novice:test:6:A,resnet,novice,A,1,-0.1602240949869156,-1.9102240800857544,1.7499999850988388
ml_expert_minus_novice,26,resnet:novice:test:6:A,resnet,novice,A,2,-0.0024756519123911858,-6.002475738525391,6.000000086612999
ml_expert_minus_novice,26,resnet:novice:test:6:B,resnet,novice,B,-2,-0.004078404977917671,-5.504078388214111,-5.499999983236194
ml_expert_minus_novice,26,resnet:novice:test:6:B,resnet,novice,B,-1,-0.0005529781919904053,-7.500553131103516,-7.500000152911525
ml_expert_minus_novice,26,resnet:novice:test:6:B,resnet,novice,B,0,-0.00012337400403339416,-9.000123023986816,-8.999999649982783
ml_expert_minus_novice,26,resnet:novice:test:6:B,resnet,novice,B,1,-0.00012337400403339416,-9.000123023986816,-8.999999649982783
ml_expert_minus_novice,26,resnet:novice:test:6:B,resnet,novice,B,2,-0.0005529781919904053,-7.500553131103516,-7.500000152911525
ml_expert_minus_novice,26,resnet:novice:test:7:A,resnet,novice,A,-2,-10.750020980834961,-2.1457441107486375e-05,-10.749999523393853
ml_expert_minus_novice,26,resnet:novice:test:7:A,resnet,novice,A,-1,-7.000911235809326,-0.0009114163694903255,-6.999999819439836
ml_expert_minus_novice,26,resnet:novice:test:7:A,resnet,novice,A,0,-1.5019290447235107,-0.25192904472351074,-1.25
ml_expert_minus_novice,26,resnet:novice:test:7:A,resnet,novice,A,1,-0.011047743260860443,-4.511047840118408,4.500000096857548
ml_expert_minus_novice,26,resnet:novice:test:7:A,resnet,novice,A,2,-0.0011701886542141438,-6.7511701583862305,6.749999969732016
ml_expert_minus_novice,26,resnet:novice:test:7:B,resnet,novice,B,-2,-0.023245446383953094,-3.773245334625244,-3.749999888241291
ml_expert_minus_novice,26,resnet:novice:test:7:B,resnet,novice,B,-1,-0.0019286142196506262,-6.251928806304932,-6.250000192085281
ml_expert_minus_novice,26,resnet:novice:test:7:B,resnet,novice,B,0,-0.0004306104383431375,-7.750430583953857,-7.749999973515514
ml_expert_minus_novice,26,resnet:novice:test:7:B,resnet,novice,B,1,-0.0004306104383431375,-7.750430583953857,-7.749999973515514
ml_expert_minus_novice,26,resnet:novice:test:7:B,resnet,novice,B,2,-0.0024756519123911858,-6.002475738525391,-6.000000086612999
ml_expert_minus_novice,26,resnet:academic_nonml:test:6:A,resnet,academic_nonml,A,-2,-6.501502513885498,-0.0015023384476080537,-6.50000017543789
ml_expert_minus_novice,26,resnet:academic_nonml:test:6:A,resnet,academic_nonml,A,-1,-0.575939416885376,-0.825939416885376,0.25
ml_expert_minus_novice,26,resnet:academic_nonml:test:6:A,resnet,academic_nonml,A,0,-0.0015023384476080537,-6.501502513885498,6.50000017543789
ml_expert_minus_novice,26,resnet:academic_nonml:test:6:A,resnet,academic_nonml,A,1,-9.60780744208023e-05,-9.250096321105957,9.250000243031536
ml_expert_minus_novice,26,resnet:academic_nonml:test:6:A,resnet,academic_nonml,A,2,-5.829164365422912e-05,-9.7500581741333,9.749999882489647
ml_expert_minus_novice,26,resnet:academic_nonml:test:6:B,resnet,academic_nonml,B,-2,-0.2014133334159851,-1.7014133930206299,-1.5000000596046448
ml_expert_minus_novice,26,resnet:academic_nonml:test:6:B,resnet,academic_nonml,B,-1,-0.029750416055321693,-3.529750347137451,-3.4999999310821295
ml_expert_minus_novice,26,resnet:academic_nonml:test:6:B,resnet,academic_nonml,B,0,-0.01416344940662384,-4.264163494110107,-4.250000044703484
ml_expert_minus_novice,26,resnet:academic_nonml:test:6:B,resnet,academic_nonml,B,1,-0.06196761503815651,-2.811967611312866,-2.7499999962747097
ml_expert_minus_novice,26,resnet:academic_nonml:test:6:B,resnet,academic_nonml,B,2,-0.9740769863128662,-0.4740769863128662,0.5
ml_expert_minus_novice,26,resnet:academic_nonml:test:7:A,resnet,academic_nonml,A,-2,-7.2507100105285645,-0.0007098776986822486,-7.250000132829882
ml_expert_minus_novice,26,resnet:academic_nonml:test:7:A,resnet,academic_nonml,A,-1,-1.1368709802627563,-0.38687101006507874,-0.7499999701976776
ml_expert_minus_novice,26,resnet:academic_nonml:test:7:A,resnet,academic_nonml,A,0,-0.0019286142196506262,-6.251928806304932,6.250000192085281
ml_expert_minus_novice,26,resnet:academic_nonml:test:7:A,resnet,academic_nonml,A,1,-0.00015841660206206143,-8.750158309936523,8.749999893334461
ml_expert_minus_novice,26,resnet:academic_nonml:test:7:A,resnet,academic_nonml,A,2,-9.60780744208023e-05,-9.250096321105957,9.250000243031536
ml_expert_minus_novice,26,resnet:academic_nonml:test:7:B,resnet,academic_nonml,B,-2,-0.2014133334159851,-1.7014133930206299,-1.5000000596046448
ml_expert_minus_novice,26,resnet:academic_nonml:test:7:B,resnet,academic_nonml,B,-1,-0.029750416055321693,-3.529750347137451,-3.4999999310821295
ml_expert_minus_novice,26,resnet:academic_nonml:test:7:B,resnet,academic_nonml,B,0,-0.008614521473646164,-4.758614540100098,-4.7500000186264515
ml_expert_minus_novice,26,resnet:academic_nonml:test:7:B,resnet,academic_nonml,B,1,-0.03804141283035278,-3.288041353225708,-3.2499999403953552
ml_expert_minus_novice,26,resnet:academic_nonml:test:7:B,resnet,academic_nonml,B,2,-0.6931471824645996,-0.6931471824645996,0.0
ml_expert_minus_novice,26,transformer:expert:test:6:A,transformer,expert,A,-2,-0.0009114163694903255,-7.000911235809326,6.999999819439836
ml_expert_minus_novice,26,transformer:expert:test:6:A,transformer,expert,A,-1,-9.60780744208023e-05,-9.250096321105957,9.250000243031536
ml_expert_minus_novice,26,transformer:expert:test:6:A,transformer,expert,A,0,-5.829164365422912e-05,-9.7500581741333,9.749999882489647
ml_expert_minus_novice,26,transformer:expert:test:6:A,transformer,expert,A,1,-7.486063259420916e-05,-9.50007438659668,9.499999525964085
ml_expert_minus_novice,26,transformer:expert:test:6:A,transformer,expert,A,2,-0.00012337400403339416,-9.000123023986816,8.999999649982783
ml_expert_minus_novice,26,transformer:expert:test:6:B,transformer,expert,B,-2,-12.500003814697266,-3.6954811548639555e-06,12.50000011921611
ml_expert_minus_novice,26,transformer:expert:test:6:B,transformer,expert,B,-1,-13.750000953674316,-1.0728830375228426e-06,13.749999880791279
ml_expert_minus_novice,26,transformer:expert:test:6:B,transformer,expert,B,0,-14.5,-4.768370445162873e-07,14.499999523162955
ml_expert_minus_novice,26,transformer:expert:test:6:B,transformer,expert,B,1,-15.75,-1.1920928244535389e-07,15.749999880790718
ml_expert_minus_novice,26,transformer:expert:test:6:B,transformer,expert,B,2,-16.75,0.0,16.75
ml_expert_minus_novice,26,transformer:expert:test:7:A,transformer,expert,A,-2,-9.000123023986816,-0.00012337400403339416,-8.999999649982783
ml_expert_minus_novice,26,transformer:expert:test:7:A,transformer,expert,A,-1,-4.0181498527526855,-0.018149960786104202,-3.9999998919665813
ml_expert_minus_novice,26,transformer:expert:test:7:A,transformer,expert,A,0,-0.06196761503815651,-2.811967611312866,2.7499999962747097
ml_expert_minus_novice,26,transformer:expert:test:7:A,transformer,expert,A,1,-0.0009114163694903255,-7.000911235809326,6.999999819439836
ml_expert_minus_novice,26,transformer:expert:test:7:A,transformer,expert,A,2,-0.00015841660206206143,-8.750158309936523,8.749999893334461
