example_id,source_id,source_role,condition,split,profile_index,technical_label,logp_A,logp_B,technical_margin
resnet:domain_expert:train:0:A,resnet,cv,domain_expert,train,0,A,-0.00012337400403339416,-9.000123023986816,8.999999649982783
resnet:domain_expert:train:0:B,resnet,cv,domain_expert,train,0,B,-0.029750416055321693,-3.529750347137451,-3.4999999310821295
resnet:domain_expert:train:1:A,resnet,cv,domain_expert,train,1,A,-9.60780744208023e-05,-9.250096321105957,9.250000243031536
resnet:domain_expert:train:1:B,resnet,cv,domain_expert,train,1,B,-0.0015023384476080537,-6.501502513885498,-6.50000017543789
resnet:domain_expert:train:2:A,resnet,cv,domain_expert,train,2,A,-7.486063259420916e-05,-9.50007438659668,9.499999525964085
resnet:domain_expert:train:2:B,resnet,cv,domain_expert,train,2,B,-0.825939416885376,-0.575939416885376,0.25
resnet:domain_expert:train:3:A,resnet,cv,domain_expert,train,3,A,-0.00012337400403339416,-9.000123023986816,8.999999649982783
resnet:domain_expert:train:3:B,resnet,cv,domain_expert,train,3,B,-0.023245446383953094,-3.773245334625244,-3.749999888241291
resnet:domain_expert:validation:4:A,resnet,cv,domain_expert,validation,4,A,-0.00015841660206206143,-8.750158309936523,8.749999893334461
resnet:domain_expert:validation:4:B,resnet,cv,domain_expert,validation,4,B,-0.01416344940662384,-4.264163494110107,-4.250000044703484
resnet:domain_expert:validation:5:A,resnet,cv,domain_expert,validation,5,A,-0.00020346954988781363,-8.500203132629395,8.499999663079507
resnet:domain_expert:validation:5:B,resnet,cv,domain_expert,validation,5,B,-0.1602240949869156,-1.9102240800857544,-1.7499999850988388
resnet:domain_expert:test:6:A,resnet,cv,domain_expert,test,6,A,-5.829164365422912e-05,-9.7500581741333,9.749999882489647
resnet:domain_expert:test:6:B,resnet,cv,domain_expert,test,6,B,-0.0005529781919904053,-7.500553131103516,-7.500000152911525
resnet:domain_expert:test:7:A,resnet,cv,domain_expert,test,7,A,-9.60780744208023e-05,-9.250096321105957,9.250000243031536
resnet:domain_expert:test:7:B,resnet,cv,domain_expert,test,7,B,-0.023245446383953094,-3.773245334625244,-3.749999888241291
resnet:matched_other_expert:train:0:A,resnet,cv,matched_other_expert,train,0,A,-9.60780744208023e-05,-9.250096321105957,9.250000243031536
resnet:matched_other_expert:train:0:B,resnet,cv,matched_other_expert,train,0,B,-0.06196761503815651,-2.811967611312866,-2.7499999962747097
resnet:matched_other_expert:train:1:A,resnet,cv,matched_other_expert,train,1,A,-0.0004306104383431375,-7.750430583953857,7.749999973515514
resnet:matched_other_expert:train:1:B,resnet,cv,matched_other_expert,train,1,B,-0.0024756519123911858,-6.002475738525391,-6.000000086612999
resnet:matched_other_expert:train:2:A,resnet,cv,matched_other_expert,train,2,A,-9.60780744208023e-05,-9.250096321105957,9.250000243031536
resnet:matched_other_expert:train:2:B,resnet,cv,matched_other_expert,train,2,B,-3.0485873222351074,-0.04858732968568802,2.9999999925494194
resnet:matched_other_expert:train:3:A,resnet,cv,matched_other_expert,train,3,A,-0.00015841660206206143,-8.750158309936523,8.749999893334461
resnet:matched_other_expert:train:3:B,resnet,cv,matched_other_expert,train,3,B,-0.10020658373832703,-2.3502066135406494,-2.2500000298023224
resnet:matched_other_expert:validation:4:A,resnet,cv,matched_other_expert,validation,4,A,-0.0004306104383431375,-7.750430583953857,7.749999973515514
resnet:matched_other_expert:validation:4:B,resnet,cv,matched_other_expert,validation,4,B,-0.06196761503815651,-2.811967611312866,-2.7499999962747097
resnet:matched_other_expert:validation:5:A,resnet,cv,matched_other_expert,validation,5,A,-0.0009114163694903255,-7.000911235809326,6.999999819439836
resnet:matched_other_expert:validation:5:B,resnet,cv,matched_other_expert,validation,5,B,-0.6931471824645996,-0.6931471824645996,0.0
resnet:matched_other_expert:test:6:A,resnet,cv,matched_other_expert,test,6,A,-0.00012337400403339416,-9.000123023986816,8.999999649982783
resnet:matched_other_expert:test:6:B,resnet,cv,matched_other_expert,test,6,B,-0.0004306104383431375,-7.750430583953857,-7.749999973515514
resnet:matched_other_expert:test:7:A,resnet,cv,matched_other_expert,test,7,A,-0.00026127262390218675,-8.250261306762695,8.250000034138793
resnet:matched_other_expert:test:7:B,resnet,cv,matched_other_expert,test,7,B,-0.07888974994421005,-2.578889846801758,-2.5000000968575478
transformer:domain_expert:train:0:A,transformer,sequence,domain_expert,train,0,A,-3.540453326422721e-05,-10.250035285949707,10.249999881416443
transformer:domain_expert:train:0:B,transformer,sequence,domain_expert,train,0,B,-2.578889846801758,-0.07888974994421005,2.5000000968575478
transformer:domain_expert:train:1:A,transformer,sequence,domain_expert,train,1,A,-0.00020346954988781363,-8.500203132629395,8.499999663079507
transformer:domain_expert:train:1:B,transformer,sequence,domain_expert,train,1,B,-0.38687101006507874,-1.1368709802627563,-0.7499999701976776
transformer:domain_expert:train:2:A,transformer,sequence,domain_expert,train,2,A,-4.541770613286644e-05,-10.000045776367188,10.000000358661055
transformer:domain_expert:train:2:B,transformer,sequence,domain_expert,train,2,B,-9.7500581741333,-5.829164365422912e-05,9.749999882489647
transformer:domain_expert:train:3:A,transformer,sequence,domain_expert,train,3,A,-0.00015841660206206143,-8.750158309936523,8.749999893334461
transformer:domain_expert:train:3:B,transformer,sequence,domain_expert,train,3,B,-4.0181498527526855,-0.018149960786104202,3.9999998919665813
transformer:domain_expert:validation:4:A,transformer,sequence,domain_expert,validation,4,A,-0.00015841660206206143,-8.750158309936523,8.749999893334461
transformer:domain_expert:validation:4:B,transformer,sequence,domain_expert,validation,4,B,-0.3132617473602295,-1.3132617473602295,-1.0
transformer:domain_expert:validation:5:A,transformer,sequence,domain_expert,validation,5,A,-0.00020346954988781363,-8.500203132629395,8.499999663079507
transformer:domain_expert:validation:5:B,transformer,sequence,domain_expert,validation,5,B,-3.288041353225708,-0.03804141283035278,3.2499999403953552
transformer:domain_expert:test:6:A,transformer,sequence,domain_expert,test,6,A,-0.0011701886542141438,-6.7511701583862305,6.749999969732016
transformer:domain_expert:test:6:B,transformer,sequence,domain_expert,test,6,B,-0.10020658373832703,-2.3502066135406494,-2.2500000298023224
transformer:domain_expert:test:7:A,transformer,sequence,domain_expert,test,7,A,-3.540453326422721e-05,-10.250035285949707,10.249999881416443
transformer:domain_expert:test:7:B,transformer,sequence,domain_expert,test,7,B,-3.773245334625244,-0.023245446383953094,3.749999888241291
transformer:matched_other_expert:train:0:A,transformer,sequence,matched_other_expert,train,0,A,-1.6689160474925302e-05,-11.000016212463379,10.999999523302904
transformer:matched_other_expert:train:0:B,transformer,sequence,matched_other_expert,train,0,B,-6.002475738525391,-0.0024756519123911858,6.000000086612999
transformer:matched_other_expert:train:1:A,transformer,sequence,matched_other_expert,train,1,A,-0.0004306104383431375,-7.750430583953857,7.749999973515514
transformer:matched_other_expert:train:1:B,transformer,sequence,matched_other_expert,train,1,B,-0.10020658373832703,-2.3502066135406494,-2.2500000298023224
transformer:matched_other_expert:train:2:A,transformer,sequence,matched_other_expert,train,2,A,-3.540453326422721e-05,-10.250035285949707,10.249999881416443
transformer:matched_other_expert:train:2:B,transformer,sequence,matched_other_expert,train,2,B,-11.750007629394531,-7.867782187531702e-06,11.749999761612344
transformer:matched_other_expert:train:3:A,transformer,sequence,matched_other_expert,train,3,A,-9.60780744208023e-05,-9.250096321105957,9.250000243031536
transformer:matched_other_expert:train:3:B,transformer,sequence,matched_other_expert,train,3,B,-3.773245334625244,-0.023245446383953094,3.749999888241291
transformer:matched_other_expert:validation:4:A,transformer,sequence,matched_other_expert,validation,4,A,-0.00012337400403339416,-9.000123023986816,8.999999649982783
transformer:matched_other_expert:validation:4:B,transformer,sequence,matched_other_expert,validation,4,B,-2.578889846801758,-0.07888974994421005,2.5000000968575478
transformer:matched_other_expert:validation:5:A,transformer,sequence,matched_other_expert,validation,5,A,-7.486063259420916e-05,-9.50007438659668,9.499999525964085
transformer:matched_other_expert:validation:5:B,transformer,sequence,matched_other_expert,validation,5,B,-7.000911235809326,-0.0009114163694903255,6.999999819439836
transformer:matched_other_expert:test:6:A,transformer,sequence,matched_other_expert,test,6,A,-0.0005529781919904053,-7.500553131103516,7.500000152911525
transformer:matched_other_expert:test:6:B,transformer,sequence,matched_other_expert,test,6,B,-0.029750416055321693,-3.529750347137451,-3.4999999310821295
transformer:matched_other_expert:test:7:A,transformer,sequence,matched_other_expert,test,7,A,-4.541770613286644e-05,-10.000045776367188,10.000000358661055
transformer:matched_other_expert:test:7:B,transformer,sequence,matched_other_expert,test,7,B,-4.758614540100098,-0.008614521473646164,4.7500000186264515
unet:domain_expert:train:0:A,unet,biomedical_cv,domain_expert,train,0,A,-1.0728830375228426e-06,-13.750000953674316,13.749999880791279
unet:domain_expert:train:0:B,unet,biomedical_cv,domain_expert,train,0,B,-6.002475738525391,-0.0024756519123911858,6.000000086612999
unet:domain_expert:train:1:A,unet,biomedical_cv,domain_expert,train,1,A,-2.264974000354414e-06,-13.000001907348633,12.999999642374632
unet:domain_expert:train:1:B,unet,biomedical_cv,domain_expert,train,1,B,-0.0024756519123911858,-6.002475738525391,-6.000000086612999
unet:domain_expert:train:2:A,unet,biomedical_cv,domain_expert,train,2,A,-4.768370445162873e-07,-14.5,14.499999523162955
unet:domain_expert:train:2:B,unet,biomedical_cv,domain_expert,train,2,B,-10.000045776367188,-4.541770613286644e-05,10.000000358661055
unet:domain_expert:train:3:A,unet,biomedical_cv,domain_expert,train,3,A,-1.4305104514278355e-06,-13.500000953674316,13.499999523163865
unet:domain_expert:train:3:B,unet,biomedical_cv,domain_expert,train,3,B,-3.0485873222351074,-0.04858732968568802,2.9999999925494194
unet:domain_expert:validation:4:A,unet,biomedical_cv,domain_expert,validation,4,A,-2.861018856492592e-06,-12.75000286102295,12.750000000004093
unet:domain_expert:validation:4:B,unet,biomedical_cv,domain_expert,validation,4,B,-0.25192904472351074,-1.5019290447235107,-1.25
unet:domain_expert:validation:5:A,unet,biomedical_cv,domain_expert,validation,5,A,-2.861018856492592e-06,-12.75000286102295,12.750000000004093
unet:domain_expert:validation:5:B,unet,biomedical_cv,domain_expert,validation,5,B,-6.251928806304932,-0.0019286142196506262,6.250000192085281
unet:domain_expert:test:6:A,unet,biomedical_cv,domain_expert,test,6,A,-2.861018856492592e-06,-12.75000286102295,12.750000000004093
unet:domain_expert:test:6:B,unet,biomedical_cv,domain_expert,test,6,B,-0.0015023384476080537,-6.501502513885498,-6.50000017543789
unet:domain_expert:test:7:A,unet,biomedical_cv,domain_expert,test,7,A,-1.0728830375228426e-06,-13.750000953674316,13.749999880791279
unet:domain_expert:test:7:B,unet,biomedical_cv,domain_expert,test,7,B,-2.1269280910491943,-0.12692804634571075,2.0000000447034836
unet:matched_other_expert:train:0:A,unet,biomedical_cv,matched_other_expert,train,0,A,-1.0728830375228426e-06,-13.750000953674316,13.749999880791279
unet:matched_other_expert:train:0:B,unet,biomedical_cv,matched_other_expert,train,0,B,-6.251928806304932,-0.0019286142196506262,6.250000192085281
unet:matched_other_expert:train:1:A,unet,biomedical_cv,matched_other_expert,train,1,A,-6.198863957251888e-06,-12.000005722045898,11.999999523181941
unet:matched_other_expert:train:1:B,unet,biomedical_cv,matched_other_expert,train,1,B,-0.006715348921716213,-5.006715297698975,-4.999999948777258
unet:matched_other_expert:train:2:A,unet,biomedical_cv,matched_other_expert,train,2,A,-5.960462772236497e-07,-14.250000953674316,14.25000035762804
unet:matched_other_expert:train:2:B,unet,biomedical_cv,matched_other_expert,train,2,B,-10.500027656555176,-2.753696753643453e-05,10.50000011958764
unet:matched_other_expert:train:3:A,unet,biomedical_cv,matched_other_expert,train,3,A,-1.7881377516459906e-06,-13.250001907348633,13.250000119210881
unet:matched_other_expert:train:3:B,unet,biomedical_cv,matched_other_expert,train,3,B,-6.251928806304932,-0.0019286142196506262,6.250000192085281
unet:matched_other_expert:validation:4:A,unet,biomedical_cv,matched_other_expert,validation,4,A,-4.768360213347478e-06,-12.250004768371582,12.250000000011369
unet:matched_other_expert:validation:4:B,unet,biomedical_cv,matched_other_expert,validation,4,B,-0.575939416885376,-0.825939416885376,-0.25
unet:matched_other_expert:validation:5:A,unet,biomedical_cv,matched_other_expert,validation,5,A,-2.861018856492592e-06,-12.75000286102295,12.750000000004093
unet:matched_other_expert:validation:5:B,unet,biomedical_cv,matched_other_expert,validation,5,B,-6.251928806304932,-0.0019286142196506262,6.250000192085281
unet:matched_other_expert:test:6:A,unet,biomedical_cv,matched_other_expert,test,6,A,-6.198863957251888e-06,-12.000005722045898,11.999999523181941
unet:matched_other_expert:test:6:B,unet,biomedical_cv,matched_other_expert,test,6,B,-0.0007098776986822486,-7.2507100105285645,-7.250000132829882
unet:matched_other_expert:test:7:A,unet,biomedical_cv,matched_other_expert,test,7,A,-1.7881377516459906e-06,-13.250001907348633,13.250000119210881
unet:matched_other_expert:test:7:B,unet,biomedical_cv,matched_other_expert,test,7,B,-4.264163494110107,-0.01416344940662384,4.250000044703484
kriging:domain_expert:train:0:A,kriging,geospatial,domain_expert,train,0,A,-0.008614521473646164,-4.758614540100098,4.7500000186264515
kriging:domain_expert:train:0:B,kriging,geospatial,domain_expert,train,0,B,-5.829164365422912e-05,-9.7500581741333,-9.749999882489647
kriging:domain_expert:train:1:A,kriging,geospatial,domain_expert,train,1,A,-0.01416344940662384,-4.264163494110107,4.250000044703484
kriging:domain_expert:train:1:B,kriging,geospatial,domain_expert,train,1,B,-7.486063259420916e-05,-9.50007438659668,-9.499999525964085
kriging:domain_expert:train:2:A,kriging,geospatial,domain_expert,train,2,A,-0.12692804634571075,-2.1269280910491943,2.0000000447034836
kriging:domain_expert:train:2:B,kriging,geospatial,domain_expert,train,2,B,-1.2993727978027891e-05,-11.25001335144043,-11.250000357712452
kriging:domain_expert:train:3:A,kriging,geospatial,domain_expert,train,3,A,-5.829164365422912e-05,-9.7500581741333,9.749999882489647
kriging:domain_expert:train:3:B,kriging,geospatial,domain_expert,train,3,B,-0.023245446383953094,-3.773245334625244,-3.749999888241291
kriging:domain_expert:validation:4:A,kriging,geospatial,domain_expert,validation,4,A,-0.3132617473602295,-1.3132617473602295,1.0
kriging:domain_expert:validation:4:B,kriging,geospatial,domain_expert,validation,4,B,-2.753696753643453e-05,-10.500027656555176,-10.50000011958764
kriging:domain_expert:validation:5:A,kriging,geospatial,domain_expert,validation,5,A,-0.029750416055321693,-3.529750347137451,3.4999999310821295
kriging:domain_expert:validation:5:B,kriging,geospatial,domain_expert,validation,5,B,-0.00015841660206206143,-8.750158309936523,-8.749999893334461
kriging:domain_expert:test:6:A,kriging,geospatial,domain_expert,test,6,A,-0.0019286142196506262,-6.251928806304932,6.250000192085281
kriging:domain_expert:test:6:B,kriging,geospatial,domain_expert,test,6,B,-4.541770613286644e-05,-10.000045776367188,-10.000000358661055
kriging:domain_expert:test:7:A,kriging,geospatial,domain_expert,test,7,A,-0.0005529781919904053,-7.500553131103516,7.500000152911525
kriging:domain_expert:test:7:B,kriging,geospatial,domain_expert,test,7,B,-9.60780744208023e-05,-9.250096321105957,-9.250000243031536
kriging:matched_other_expert:train:0:A,kriging,geospatial,matched_other_expert,train,0,A,-0.004078404977917671,-5.504078388214111,5.499999983236194
kriging:matched_other_expert:train:0:B,kriging,geospatial,matched_other_expert,train,0,B,-1.2993727978027891e-05,-11.25001335144043,-11.250000357712452
kriging:matched_other_expert:train:1:A,kriging,geospatial,matched_other_expert,train,1,A,-0.006715348921716213,-5.006715297698975,4.999999948777258
kriging:matched_other_expert:train:1:B,kriging,geospatial,matched_other_expert,train,1,B,-2.1457441107486375e-05,-10.750020980834961,-10.749999523393853
kriging:matched_other_expert:train:2:A,kriging,geospatial,matched_other_expert,train,2,A,-1.7014133930206299,-0.2014133334159851,-1.5000000596046448
kriging:matched_other_expert:train:2:B,kriging,geospatial,matched_other_expert,train,2,B,-6.198863957251888e-06,-12.000005722045898,-11.999999523181941
